4.632999999999882 [0.03, 0.72] 3 72
4.542999999999852 [0.03, 0.73] 3 73
4.464999999999826 [0.03, 0.74] 3 74
4.383999999999799 [0.03, 0.75] 3 75
4.347999999999787 [0.03, 0.76] 3 76
5.1170000000000435 [0.03, 0.77] 3 77
3.3659999999997403 [0.03, 0.78] 3 78
1.6939999999999242 [0.03, 0.79] 3 79
1.3839999999999584 [0.03, 0.8] 3 80
1.0439999999999958 [0.03, 0.81] 3 81
0.8000000000000006 [0.03, 0.82] 3 82
0.7660000000000006 [0.03, 0.83] 3 83
1.0489999999999953 [0.03, 0.84] 3 84
0.6360000000000005 [0.03, 0.85] 3 85
1.8889999999999028 [0.03, 0.86] 3 86
0.8750000000000007 [0.03, 0.87] 3 87
2.558999999999829 [0.03, 0.88] 3 88
0.7910000000000006 [0.03, 0.89] 3 89
1.2029999999999783 [0.03, 0.9] 3 90
1.4029999999999563 [0.03, 0.91] 3 91
0.8100000000000006 [0.03, 0.92] 3 92
1.0209999999999984 [0.03, 0.93] 3 93
0.8540000000000006 [0.03, 0.94] 3 94
0.8630000000000007 [0.03, 0.95] 3 95
2.5739999999998275 [0.03, 0.96] 3 96
1.1949999999999792 [0.03, 0.97] 3 97
0.8250000000000006 [0.03, 0.98] 3 98
0.7980000000000006 [0.03, 0.99] 3 99
0.5220000000000004 [0.04, 0.0] 4 0
0.6440000000000005 [0.04, 0.01] 4 1
0.2940000000000002 [0.04, 0.02] 4 2
0.32100000000000023 [0.04, 0.03] 4 3
0.7450000000000006 [0.04, 0.04] 4 4
0.5300000000000004 [0.04, 0.05] 4 5
0.43300000000000033 [0.04, 0.06] 4 6
0.46000000000000035 [0.04, 0.07] 4 7
0.6230000000000004 [0.04, 0.08] 4 8
1.4719999999999487 [0.04, 0.09] 4 9
0.4950000000000004 [0.04, 0.1] 4 10
0.6900000000000005 [0.04, 0.11] 4 11
0.46500000000000036 [0.04, 0.12] 4 12
1.0889999999999909 [0.04, 0.13] 4 13
2.9739999999997835 [0.04, 0.14] 4 14
2.0089999999998898 [0.04, 0.15] 4 15
