0.6880000000000005 [-0.49, 0.7] 1 70
1.0099999999999996 [-0.49, 0.71] 1 71
0.5510000000000004 [-0.49, 0.72] 1 72
1.3899999999999577 [-0.49, 0.73] 1 73
0.7360000000000005 [-0.49, 0.74] 1 74
0.5230000000000004 [-0.49, 0.75] 1 75
0.5430000000000004 [-0.49, 0.76] 1 76
0.6660000000000005 [-0.49, 0.77] 1 77
1.0819999999999916 [-0.49, 0.78] 1 78
0.5930000000000004 [-0.49, 0.79] 1 79
0.6210000000000004 [-0.49, 0.8] 1 80
1.2009999999999785 [-0.49, 0.81] 1 81
0.5610000000000004 [-0.49, 0.82] 1 82
0.8140000000000006 [-0.49, 0.83] 1 83
0.5820000000000004 [-0.49, 0.84] 1 84
0.8480000000000006 [-0.49, 0.85] 1 85
0.5920000000000004 [-0.49, 0.86] 1 86
0.6450000000000005 [-0.49, 0.87] 1 87
0.7070000000000005 [-0.49, 0.88] 1 88
0.6210000000000004 [-0.49, 0.89] 1 89
0.6680000000000005 [-0.49, 0.9] 1 90
0.7910000000000006 [-0.49, 0.91] 1 91
0.6640000000000005 [-0.49, 0.92] 1 92
0.6490000000000005 [-0.49, 0.93] 1 93
1.2409999999999741 [-0.49, 0.94] 1 94
10.000999999999896 [-0.49, 0.95] 1 95
0.9770000000000008 [-0.49, 0.96] 1 96
0.8830000000000007 [-0.49, 0.97] 1 97
0.8480000000000006 [-0.49, 0.98] 1 98
0.8390000000000006 [-0.49, 0.99] 1 99
0.34900000000000025 [-0.48, 0.0] 2 0
0.6380000000000005 [-0.48, 0.01] 2 1
0.5110000000000003 [-0.48, 0.02] 2 2
0.21000000000000016 [-0.48, 0.03] 2 3
0.4290000000000003 [-0.48, 0.04] 2 4
0.22500000000000017 [-0.48, 0.05] 2 5
0.6530000000000005 [-0.48, 0.06] 2 6
0.36200000000000027 [-0.48, 0.07] 2 7
0.2790000000000002 [-0.48, 0.08] 2 8
0.2670000000000002 [-0.48, 0.09] 2 9
0.32000000000000023 [-0.48, 0.1] 2 10
0.46500000000000036 [-0.48, 0.11] 2 11
0.5260000000000004 [-0.48, 0.12] 2 12
0.2880000000000002 [-0.48, 0.13] 2 13
0.5280000000000004 [-0.48, 0.14] 2 14
0.4040000000000003 [-0.48, 0.15] 2 15
0.25600000000000017 [-0.48, 0.16] 2 16
